CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,C1,NA1,MG1,AL1,SI1,SI2,CA1,SC1,SC2,TI1,TI2,V1,CR1,CR2,MN1,FE1,FE2,CO1,NI1,CU1,ZN1,Y2,ZR1,BA2,LA2,CE2,ND2,EU2
07161891-1313584,Br36,109.07879166666484,-13.232888888888665,115.07073999999999,4148.0,58.0,1.6891104,0.11413592,-0.33,63.50425,0.36522317,,5.86,7.33,6.32,7.42,,6.131,3.0039999999999996,2.96,4.64,4.82,3.8470001000000003,5.3,5.345,5.12,7.06,7.12,4.77,6.16,4.14,3.9339999999999997,1.89,2.14,2.084,0.61,1.3799999,1.44,0.35
07163690-1315379,Br36,109.15374999999813,-13.260527777777552,44.669548,4899.0,68.0,2.7183990000000002,0.118886925,-0.0975559,77.89685,0.36623946,8.19,6.03,7.39,6.25,7.32,7.07,6.211,3.1039999999999996,3.03,4.74,4.93,3.867,5.45,5.535,5.11,7.25,7.34,4.76,6.08,3.89,4.303999999999999,2.03,2.45,1.954,1.02,1.8999999,1.57,0.5
07161448-1313359,Br36,109.06033333333149,-13.226638888888663,42.63166,5153.0,68.0,2.8635222999999996,0.12090188,-0.0625567,84.6567,0.366317,,6.14,7.45,6.27,7.34,7.24,6.311,3.2039999999999997,3.05,4.8,4.89,3.887,5.54,5.435,5.2,7.32,7.39,4.73,6.05,4.06,4.053999999999999,2.16,2.87,2.2640000000000002,1.19,1.81,1.6,0.33
19171032+1932507,Br44,289.2929999999951,19.54741666666634,51.13,4943.0,68.0,3.2709851000000003,0.12578258,0.25,-9.45505,0.36771455,,6.52,7.71,6.56,7.72,7.51,6.591,3.5439999999999996,3.77,5.16,5.64,4.417,6.02,5.7949996,5.76,7.68,7.92,5.22,6.56,4.41,,2.59,2.79,2.404,1.26,,1.87,0.6
19170732+1930555,Br44,289.2804999999952,19.515416666666336,41.192734,5018.0,69.0,3.1532897999999996,0.12351335599999999,0.21,-7.7300997,0.36951002,8.31,6.45,7.64,6.55,7.57,7.31,6.521,3.5639999999999996,3.43,5.11,5.34,4.357,6.01,5.915,5.64,7.56,7.68,5.17,6.42,4.36,,2.77,2.77,1.8740001,1.23,,1.72,0.51
19015978-0028183,Br81,285.49908333332854,-0.4717499999999921,96.87482,4665.0,57.0,2.3638049999999997,0.11371478,-0.38,46.931152000000004,0.36477736,,5.84,7.39,6.2,7.34,7.25,6.091,2.864,2.95,4.63,4.76,3.7370002,5.14,5.2149997,4.83,7.01,7.1,4.65,5.86,3.97,4.134000299999999,1.72,1.99,1.6340001,0.65,1.4200001,1.31,0.38
19014127-0026444,Br81,285.4219583333285,-0.4456666666666592,44.799805,4865.0,67.0,2.9034047000000003,0.1209645,0.21,47.089554,0.36674348,8.66,6.49,7.67,6.59,7.72,7.81,6.551,3.404,3.38,5.04,4.98,4.2469997,5.83,5.805,5.65,7.63,7.66,5.15,6.49,4.28,4.343999999999999,2.4,2.6,2.124,1.19,1.8199999,1.75,0.62
19013537-0028186,Br81,285.3973749999951,-0.4718333333333253,35.654087,5029.0,69.0,3.3519828,0.12457044,0.34,47.458,0.36778837,8.4,6.66,7.69,6.67,7.76,7.34,6.6210002999999995,3.574,3.68,5.25,5.38,4.467,5.95,5.825,5.78,7.72,7.84,5.28,6.62,4.56,4.104,2.63,3.0,2.3140001,1.46,2.37,1.95,0.81
19013631-0027447,Br81,285.4012916666618,-0.4624166666666588,80.52015,4830.0,58.0,2.8522074,0.11501961,0.21,47.472954,0.36515746,8.27,6.57,7.64,6.6,7.76,7.64,6.4910000000000005,3.404,3.49,5.0,5.11,4.2669997,5.76,5.855,5.59,7.58,7.66,5.15,6.45,4.41,4.624,2.35,2.64,2.164,1.12,2.03,1.72,0.63
19014525-0023580,Br81,285.4385416666618,-0.3994444444444377,63.785664000000004,4954.0,66.0,3.0147965,0.117777385,0.25,49.23585,0.36554214,8.57,6.6,7.7,6.63,7.74,7.54,6.561,3.404,3.49,5.1,5.09,4.3469996,5.81,5.8349996,5.63,7.64,7.67,5.16,6.45,4.49,4.454,2.43,2.8,2.2640000000000002,1.28,1.9299998,1.75,0.65
