CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,SI1,CA1,SC2,TI1,TI2,V1,CR1,FE1,FE2,CO1,NI1,Y2,BA2
03444398+2413524,Pleiades,-999.9,-999.9,3204.1309,5394.0,40.0,4.534896,0.037255973,-0.03810735,5.12895,0.56568545,6.04,7.47,7.48,6.44,3.3200002,4.86,4.88,4.0,5.58,7.43,7.5,4.73,6.12,2.14,2.24
03394117+2317271,Pleiades,-999.9,-999.9,5115.9004,6118.0,0.0,4.05,0.0,-0.02,5.5401,0.56568545,,,,,,,,,,7.62,7.62,,,1.82,2.2900002
03515686+2354071,Pleiades,-999.9,-999.9,4553.4995,6177.0,72.0,4.302189,0.031731017,0.04351317,5.7300997,0.56568545,6.08,7.46,7.41,6.53,3.3000002,4.95,4.85,4.18,5.66,7.52,7.48,4.88,6.2,2.13,2.42
03492874+2342441,Pleiades,-999.9,-999.9,2993.0823,5254.0,7.0,4.4246073,0.053217932999999995,-0.03849163,5.83915,0.56568545,6.06,7.5,7.44,6.42,3.2900002,4.84,4.82,4.02,5.59,7.43,7.52,4.71,6.12,2.05,2.18
03481712+2353244,Pleiades,-999.9,-999.9,2898.8904,5943.0,54.0,4.574376,0.08280415,0.000115125535,5.84695,0.56568545,6.0699997,7.33,7.37,6.39,3.23,4.8,4.78,,5.49,7.4,7.47,5.04,6.02,2.16,2.26
03445892+2201568,Pleiades,-999.9,-999.9,4886.628,6754.0,10.0,4.365259,0.0151622305,-0.032754406,5.99475,0.56568545,6.0099998,7.45,7.51,6.57,3.3300002,4.99,4.84,,5.6,7.47,7.48,,6.17,2.14,2.2
03483452+2326053,Pleiades,-999.9,-999.9,6318.525,5944.0,41.0,4.3764085999999995,0.049390394000000004,-0.04953964,6.0622997000000005,0.56568545,5.9,7.44,7.33,6.39,3.22,4.78,4.65,,5.51,7.39,7.38,,5.99,1.86,2.15
03495649+2312070,Pleiades,-999.9,-999.9,4873.772,6232.0,112.0,4.6815443,0.22191629,-0.008772754,6.17855,0.56568545,5.96,7.42,7.39,6.3,3.24,4.8,4.9,4.31,5.55,7.4,7.47,5.26,6.04,2.06,
03465375+2335008,Pleiades,-999.9,-999.9,4417.102,5856.0,1.0,4.370575,0.025866056000000002,-0.00044292765,6.36865,0.56568545,6.06,7.43,7.43,6.52,3.2800002,4.87,4.86,4.03,5.65,7.5,7.48,4.73,6.15,2.16,2.42
03382257+2229589,Pleiades,-999.9,-999.9,4752.4004,5975.0,0.0,4.29,0.0,-0.01,6.7059,0.56568545,,,,,,,,,,7.64,7.8199997,,,2.49,
03474808+2313051,Pleiades,-999.9,-999.9,3261.4211,5547.0,56.0,4.3782554000000005,0.040020573999999996,0.04500762,7.38575,0.56568545,6.08,7.509999799999999,7.45,6.58,3.3300002,4.99,4.92,4.09,5.73,7.56,7.48,4.8,6.25,2.29,2.42
03422399+2128246,Pleiades,-999.9,-999.9,5086.428,6236.0,235.0,4.499022,0.33922005,-0.06586832,7.4628,0.56568545,,,,,,,,,,7.54,7.58,,,2.15,
03525347+2442566,Pleiades,-999.9,-999.9,5462.7466,6332.0,0.0,3.91,0.0,-0.15,7.6840496,0.56568545,,,,,,,,,,,,,,1.25,
04034417+2256394,Pleiades,-999.9,-999.9,4226.2817,6362.0,0.0,3.95,0.0,-0.1,7.7609,0.56568545,,,,,,,,,,7.6099997,7.83,,,,1.91
03400308+2744258,Pleiades,-999.9,-999.9,3710.7136,6328.0,0.0,3.95,0.0,-0.22,11.1402,0.4,,,,,,,,,,,,,,1.56,2.13
16270007-2501426,Rho_Oph,246.7502916666625,-25.028499999999585,65.11623399999999,6505.0,182.0,4.3567976999999996,0.20970988,-0.36774245,-23.627748,0.37419835,5.73,,7.09,,,5.07,,,5.37,7.24,7.29,,5.92,1.8,1.9599999
16292199-2427194,Rho_Oph,247.34162499999584,-24.45538888888848,70.21144,6041.0,80.0,4.7222395,0.11858207,0.009604088,-22.3311,0.36681348,6.02,7.34,7.34,6.35,3.22,4.91,4.93,4.08,5.57,7.4,7.42,5.06,6.21,2.25,1.9899999
16290795-2432162,Rho_Oph,247.28312499999583,-24.53783333333293,50.06405,6313.0,0.0,3.88,0.0,-0.14,-18.901798,0.69836783,,,,,,,,,,,,,,,
16270429-2359485,Rho_Oph,246.76787499999585,-23.99680555555515,10.380746,6400.0,0.0,4.03,0.0,-0.15,-12.3057,0.35519448,,,,,,,,,,,,,,,
16273901-2358187,Rho_Oph,246.9125416666625,-23.971861111110712,49.935665,4540.0,0.0,4.52,0.0,-0.07,-6.2135496,0.37700596,,,,,,,,,,,,,,,
16273832-2357324,Rho_Oph,246.90966666666253,-23.958999999999595,27.259384000000004,4525.0,0.0,4.52,0.0,-0.07,-6.03015,0.37546873,,,,,,,,,,,,,,,
16271513-2451388,Rho_Oph,246.81304166666249,-24.860777777777358,56.92085600000001,3599.0,0.0,4.71,0.0,-0.22,-6.00885,0.3707001,,,,,,,,,,,,,,,
16261706-2420216,Rho_Oph,246.5710833333292,-24.339333333332924,70.85691,4480.0,82.0,4.2670910000000015,0.4358616,-0.09474098,-5.5167,0.37054570000000003,,,7.46,,3.17,,4.84,4.09,,7.41,7.82,4.87,6.14,2.77,
16251469-2456069,Rho_Oph,246.3112083333292,-24.935249999999577,68.5452,4310.0,0.0,4.56,0.0,-0.07,-1.27005,1.2022030000000001,,,,,,,,,,,,,,,
16292145-2457366,Rho_Oph,247.33937499999584,-24.96016666666625,68.239944,5970.0,39.0,3.9352052000000004,0.078441985,-0.31174374,1.9947,0.365227,5.8199997,7.37,7.21,6.31,3.3100002,4.63,4.71,4.5,5.61,7.22,7.24,,5.99,1.74,1.85
