CNAME,GES_FLD,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,VRAD,E_VRAD,NA1,MG1,AL1,CA1,SC1,SC2,TI1,V1,CR1,CR2,FE1,FE2,CO1,NI1,Y2
08091673-4850384,NGC2547,122.31970833333123,-48.84399999999918,133.04158,4739.0,16.0,2.6670065,0.037459273,-0.08573802,25.172201,0.3644413,6.08,7.49,6.2999997,6.3,2.96,3.3200002,4.85,4.0,5.38,5.245,7.27,7.34,4.89,6.1,1.9
08103144-4906301,NGC2547,122.63099999999793,-49.10836111111028,180.58543,8000.0,750.0,3.4,0.45,-1.0,26.744298999999998,0.31154385,,,,,,,,,,,,,,,
12575531-6500412,NGC4815,194.48045833333003,-65.01144444444333,102.99546,4781.0,58.0,2.81185,0.113227375,-0.159,-43.967597999999995,0.36463629999999997,6.01,7.35,6.23,6.2410000000000005,3.0039999999999996,3.16,4.73,3.897,5.36,5.375,7.25,7.28,4.73,6.06,2.01
12574328-6457386,NGC4815,194.43033333333003,-64.96072222222112,130.20967,4853.0,58.0,2.268242,0.11393158,0.10789100000000001,-30.449,0.36456552,6.43,7.46,6.33,6.3710002999999995,3.0639999999999996,3.27,4.76,3.887,5.53,5.575,7.4,7.51,4.8,6.16,2.2
12572442-6455173,NGC4815,194.35174999999668,-64.92147222222114,147.00179,4341.0,57.0,1.9767925,0.11270281,0.03,-29.57975,0.36450243,6.36,7.56,6.44,6.511,3.0939999,3.31,4.85,4.037,5.59,5.665,7.41,7.46,5.03,6.37,2.27
12575529-6456536,NGC4815,194.48037499999668,-64.94822222222112,108.5346,4972.0,58.0,2.612206,0.11389179,-0.006999999999999999,-29.508549,0.36460993,6.25,7.42,6.28,6.311,3.0439999999999996,3.14,4.72,3.897,5.41,5.4649997,7.34,7.41,4.7,6.07,2.11
12574080-6455572,NGC4815,194.41999999999672,-64.93255555555444,107.760826,5753.0,66.0,3.215793,0.11849316,0.433007,-29.38055,0.38494155,6.51,7.78,6.5,6.631,3.764,3.59,5.14,4.237,5.88,5.9449997,7.59,7.84,5.04,6.29,2.59
12575511-6458483,NGC4815,194.4796249999968,-64.98008333333225,116.55662,4874.0,57.0,2.5591082999999997,0.11425103,0.11562,-29.322747999999997,0.36455816,6.42,7.51,6.35,6.4510000000000005,3.134,3.34,4.82,3.957,5.58,5.685,7.45,7.57,4.87,6.23,2.28
12580262-6456492,NGC4815,194.51091666666332,-64.9469999999989,110.819305,4869.0,58.0,2.5271356,0.11274057,0.11,-29.223847999999997,0.36482924,6.35,7.45,6.37,6.301,3.0939999,3.23,4.8,3.947,5.51,5.615,7.39,7.45,4.84,6.14,2.18
12573217-6455167,NGC4815,194.3840416666634,-64.92130555555444,101.43574,4974.0,57.0,2.6728308,0.11409075,0.097036,-22.23425,0.36466086,6.35,7.51,6.36,6.4110002999999995,3.1039999999999996,3.31,4.82,3.9870002,5.54,5.625,7.44,7.52,4.83,6.19,2.25
