CNAME,GES_FLD,WG,RA,DEC,SNR,TEFF,E_TEFF,LOGG,E_LOGG,FEH,XI,MH,ALPHA_FE,VRAD,E_VRAD,VSINI,E_VSINI,TEFF_PHOT,E_TEFF_PHOT,TEFF_IRFM,E_TEFF_IRFM,FBOL_IRFM,HE1,LI1,C1,C2,C3,N2,N3,O1,O2,NE1,NE2,NA1,MG1,MG2,AL1,AL2,AL3,SI1,SI2,SI3,SI4,S1,S2,S3,CA1,CA2,SC1,SC2,TI1,TI2,V1,V2,CR1,CR2,MN1,FE1,FE2,FE3,CO1,NI1,CU1,ZN1,SR1,Y1,Y2,ZR1,ZR2,NB1,MO1,RU1,BA2,LA2,CE2,PR2,ND2,SM2,EU2,GD2,DY2,SPT
10343957-6407258,IC2602,WG11:WG12:WG13,158.66487499999738,-64.12383333333227,104.86341000000002,4704.0,18.0,2.5323448,0.06741372,7.682276e-05,1.39,,,-34.4871,0.36461022,2.1944444,3.2673545,,,,,,,-1.0,8.22,,,,,9.442,,,,6.14,7.42,,6.39,,,7.53,7.45,,,,,,6.33,,2.85,3.38,4.78,4.95,3.98,,5.46,5.46,5.29,7.39,7.44,,4.95,6.24,4.21,4.3840002999999985,,,2.14,2.43,2.55,,1.9,,2.164,0.85,1.6400001,,1.54,,0.24000001,,,K1III
10415767-6409342,IC2602,WG11:WG12:WG13,160.49029166666398,-64.1594999999989,51.468533,3926.0,0.0,1.6,0.0,-0.09,,,,-31.19965,0.3667699,6.2,4.672332,,,,,,,-1.0,,,,,,8.662,,,,6.02,7.61,,6.1,,,7.51,,,,,,,6.1,,2.58,3.25,4.65,4.78,3.83,,5.28,6.23,,7.33,7.72,,5.02,6.23,3.86,3.954,,,2.16,2.41,2.52,,1.95,,2.3040001,0.8,1.6600001,,1.56,,0.22,,,G9III
10454789-6500411,IC2602,WG11:WG12:WG13,161.44954166666392,-65.01141666666554,104.10765,7333.0,750.0,3.5,0.45,0.0,,,,-28.8032,0.46564463,37.45247,6.8470130000000005,,,,,,,2.68,,,,,,,,,,5.2,7.1,,7.18,,,7.15,,,,,,,5.8710003,,,2.78,5.21,4.48,5.107,,6.14,5.5249996,6.52,,,,6.07,6.66,4.41,4.1740002999999986,,,2.07,,,,,,0.8140000000000001,,,,2.37,,,,,A9IV
10321965-6322325,IC2602,WG11:WG12:WG13,158.0818749999973,-63.37569444444337,96.31793,4702.0,18.0,2.5758543,0.050365478,0.045209352,1.55,,,-24.94155,0.36470085,2.384087,3.5190394,,,,,,,-1.0,8.35,,,,,8.792,,,,6.4,7.6,,6.56,,,7.64,7.47,,,,,,6.4700003,,3.12,3.47,4.96,5.01,4.25,,5.67,5.6,5.47,7.51,7.58,,5.12,6.34,4.33,4.484,,,2.21,2.6,2.6,,2.07,,2.194,0.93,1.71,,1.62,,0.47000003,,,K1.5III
10405443-6447593,IC2602,WG11:WG12:WG13,160.22679166666398,-64.79980555555447,100.217636,4981.0,4.0,2.6927006,0.052681554000000005,0.039055932,1.56,,,-23.637798,0.3647571,3.3549347000000003,3.8445444,,,,,,,-1.0,8.02,,,,,8.832,,,,6.49,7.5499997,,6.48,,,7.55,7.38,,,,,,6.4900002,6.06,3.12,3.5,4.97,4.99,4.16,,5.62,5.51,5.44,7.51,7.56,,5.03,6.3,4.17,4.434,,,2.16,2.72,2.63,,2.09,,2.224,0.99,1.7700001,,1.6,,0.51,,,G8III
10461503-6408551,IC2602,WG11:WG12:WG13,161.5626249999973,-64.1486388888878,50.157024,5003.0,14.0,2.8772936,0.017369946,0.011600264,1.58,,,-22.122898,0.3656438,2.1527777,3.1763122000000004,,,,,,,-0.5069121,7.93,,,,,8.762,,,,6.21,7.5,,6.45,,,7.5,7.29,,,,,,6.44,,3.13,3.45,5.06,4.97,4.21,,5.57,5.58,5.44,7.49,7.49,,4.98,6.26,4.09,4.574,,,2.01,2.84,2.75,,2.23,,2.174,1.07,1.9100001,,1.71,,0.49,,,G8III
10492243-6502120,IC2602,WG11:WG12:WG13,162.34345833333055,-65.03666666666557,86.96033,5041.0,28.0,2.852132,0.007681671,-0.114440806,1.55,,,-22.076649,0.3647926,2.2027779,3.1321778,,,,,,,0.17478317,7.86,,,,,8.772,,,,6.06,7.39,,6.33,,,7.34,7.15,,,,,,6.33,6.37,3.134,3.3700001000000004,4.88,4.87,3.98,,5.5,5.39,5.26,7.34,7.35,,4.88,6.05,4.07,4.434,,,1.96,2.68,2.55,,1.95,,2.0740001,0.91,1.62,,1.61,,0.96,,,G8III
10291466-6439127,IC2602,WG11:WG12:WG13,157.31108333333069,-64.65352777777667,102.86553,5117.0,20.0,3.281879,0.040612526,-0.58257306,0.96,,,-18.844498,0.364941,4.1,3.3976233,,,,,,,1.01293,7.66,,,,,8.522,,,,5.6299996,7.2799997,,6.06,,,7.08,7.02,,,,,,6.09,,2.66,2.97,4.58,4.63,3.6499999,,5.08,4.935,4.69,6.9,6.93,,4.47,5.68,3.6,4.1340002999999985,,,1.48,2.04,,,,,1.5040001,1.23,,,1.06,,0.05,,,G5IV
10453134-6451549,IC2602,WG11:WG12:WG13,161.3805833333306,-64.86524999999891,90.35684,4920.0,17.0,2.7361383,0.112611026,-0.13386571,1.51,,,-18.472248,0.36473164,2.227778,2.9428647,,,,,,,-1.0,7.98,,,,,8.792,,,,5.98,7.38,,6.2599998,,,7.36,7.19,,,,,,6.23,5.98,2.89,3.3500001000000004,4.76,4.9,3.9199998,,5.35,5.41,5.14,7.26,7.39,,4.87,6.08,4.04,4.4440002,,,1.85,2.32,2.39,,1.82,,1.944,0.75,1.4100001,,1.42,,0.25,,,G8III
10463918-6411459,IC2602,WG11:WG12:WG13,161.66324999999725,-64.19608333333225,112.16361,4969.0,47.0,2.711107,0.11325117,-0.30127242,1.51,,,-18.179049,0.36453432,2.1555555,3.0354822,,,,,,,0.8067943000000001,7.83,,,,,8.742,,,,6.0,7.35,,6.24,,,7.31,7.12,,,,,,6.2200003,5.86,2.63,3.24,4.73,4.76,3.82,,5.28,5.2400002,5.08,7.21,7.21,,4.75,5.97,3.88,4.394,,,1.84,2.19,2.27,,,,1.924,0.71,1.36,,1.35,,0.20000002,,,G8III
10460575-6420184,IC2602,WG11:WG12:WG13,161.5239583333306,-64.33844444444337,143.77213,6065.0,500.0,3.5658436,0.45,0.0,1.2998931,,,-17.559849,0.37059358,11.896337,5.3375235,,,,,,,2.58,8.24,,,,,8.922,,,,5.61,7.31,,5.97,,,7.05,7.03,,,7.13,,,5.901,6.23,3.924,2.61,4.91,4.62,4.167,,5.39,5.325,5.07,7.02,7.04,,5.18,5.96,3.81,4.0539999999999985,,,1.84,3.8,3.63,,,,1.1040001,,2.23,,1.77,,,,,
